year,crossover_count,moving_avg
1988,5,
1991,1,
1992,3,
1993,3,
1994,3,
1995,6,
1996,6,
1997,5,
1998,5,
1999,1,3.8
2000,2,3.5
2001,1,3.5
2002,4,3.6
2003,5,3.8
2004,12,4.7
2005,7,4.8
2006,9,5.1
2007,2,4.8
2008,6,4.9
2009,14,6.2
2010,7,6.7
2011,1,6.7
2012,6,6.9
2013,6,7.0
2014,7,6.5
2015,16,7.4
2016,8,7.3
2017,12,8.3
2018,19,9.6
2019,3,8.5
2020,7,8.5
2021,10,9.4
2022,11,9.9
2023,9,10.2
