Date,mean_TW
8/3/2011,6.303557639
8/4/2011,6.314947917
8/5/2011,6.345090972
8/6/2011,6.381171181
8/7/2011,6.379910069
8/8/2011,6.408779167
8/9/2011,6.436756597
8/10/2011,6.443340278
8/11/2011,6.465305556
8/12/2011,6.484126042
8/13/2011,6.519554167
8/14/2011,6.529878819
8/15/2011,6.554197222
8/16/2011,6.589106944
8/17/2011,6.619006597
8/18/2011,6.626090972
8/19/2011,6.651254167
8/20/2011,6.663064583
8/21/2011,6.686801736
8/22/2011,6.71270625
8/23/2011,6.691746528
8/24/2011,6.726972569
8/25/2011,6.698167708
8/26/2011,6.734020486
8/27/2011,6.748269792
8/28/2011,6.7530375
8/29/2011,6.778851042
8/30/2011,6.776194444
8/31/2011,6.802882639
9/1/2011,6.816379167
9/2/2011,6.828992014
9/3/2011,6.827762153
9/4/2011,6.843057986
9/5/2011,6.848978819
9/6/2011,6.83925625
9/7/2011,6.830122569
9/8/2011,6.86865
9/9/2011,6.87031875
9/10/2011,6.882790625
9/11/2011,6.884400347
9/12/2011,6.884006944
9/13/2011,6.879820833
9/14/2011,6.894925
9/15/2011,6.90280625
9/16/2011,6.934184028
9/17/2011,6.931850347
9/18/2011,6.924127431
9/19/2011,7.034075694
9/20/2011,7.075460417
9/21/2011,7.037022917
9/22/2011,7.029289583
9/23/2011,7.193828125
9/24/2011,7.140146875
9/25/2011,7.663486111
9/26/2011,7.7690125
9/27/2011,7.761694444
9/28/2011,7.881432292
9/29/2011,8.163698264
9/30/2011,8.167667708
10/1/2011,8.082695486
10/2/2011,8.200468403
10/3/2011,8.109420139
10/4/2011,8.222280208
10/5/2011,8.198936458
10/6/2011,8.269707986
10/7/2011,8.356070833
10/8/2011,8.226371875
10/9/2011,8.467602431
10/10/2011,8.321702431
10/11/2011,8.809686111
10/12/2011,9.061401389
10/13/2011,8.982851389
10/14/2011,8.669984028
10/15/2011,8.581227431
10/16/2011,8.40631875
10/17/2011,8.40678125
10/18/2011,8.305097917
10/19/2011,8.263630903
10/20/2011,8.323868403
10/21/2011,8.181140625
10/22/2011,8.438978472
10/23/2011,8.153540278
10/24/2011,8.207810417
10/25/2011,8.080335764
10/26/2011,7.923717014
10/27/2011,8.098028125
10/28/2011,8.046945486
10/29/2011,7.717741319
10/30/2011,7.562486806
10/31/2011,7.497965278
11/1/2011,7.518364583
11/2/2011,7.451028223
11/3/2011,7.363167014
11/4/2011,7.347621528
11/5/2011,7.091446875
11/6/2011,7.204717029
11/7/2011,6.969673611
11/8/2011,7.032959722
11/9/2011,7.090351042
11/10/2011,6.992639236
11/11/2011,6.614571181
11/12/2011,6.490333333
11/13/2011,6.373454167
11/14/2011,6.284758681
11/15/2011,6.279927778
11/16/2011,6.325002083
11/17/2011,6.196970833
11/18/2011,6.002981597
11/19/2011,5.949070833
11/20/2011,5.888347569
11/21/2011,5.777869097
11/22/2011,5.634422569
11/23/2011,5.457381944
11/24/2011,5.058768056
11/25/2011,5.028913542
11/26/2011,5.144149306
11/27/2011,5.055831597
11/28/2011,4.797559375
11/29/2011,4.77073125
11/30/2011,4.712159375
12/1/2011,4.642012847
12/2/2011,4.478298264
12/3/2011,4.493195833
