date,SWC,wyr
6/5/2022,416446.3045,2021-22
6/6/2022,418693.8789,2021-22
6/7/2022,416972.0657,2021-22
6/8/2022,415805.4394,2021-22
6/9/2022,415124.3979,2021-22
6/10/2022,420540.5571,2021-22
6/11/2022,419578.3045,2021-22
6/12/2022,418580.9516,2021-22
6/13/2022,417741.7543,2021-22
6/14/2022,416430.7855,2021-22
6/15/2022,414737.2007,2021-22
6/16/2022,413610.9481,2021-22
6/17/2022,412544.1246,2021-22
6/18/2022,411626.8201,2021-22
6/19/2022,410667.3287,2021-22
6/20/2022,409949.917,2021-22
6/21/2022,408834.6332,2021-22
6/22/2022,409557.3529,2021-22
6/23/2022,407406.7612,2021-22
6/24/2022,405634.0519,2021-22
6/25/2022,403746.1869,2021-22
6/26/2022,401849.1384,2021-22
6/27/2022,399611.5087,2021-22
6/28/2022,397062.2422,2021-22
6/29/2022,396787.5502,2021-22
6/30/2022,395418.5467,2021-22
7/1/2022,393405.7612,2021-22
7/2/2022,391536.0623,2021-22
7/3/2022,389714.8893,2021-22
7/4/2022,393397.128,2021-22
7/5/2022,392801.2734,2021-22
7/6/2022,391018.436,2021-22
7/7/2022,390035.0138,2021-22
7/8/2022,388900.9377,2021-22
7/9/2022,387374.436,2021-22
7/10/2022,385548.8824,2021-22
7/11/2022,384188.0969,2021-22
7/12/2022,382029.4048,2021-22
7/13/2022,379975.7266,2021-22
7/14/2022,378180.3495,2021-22
7/15/2022,376293.7301,2021-22
7/16/2022,375406.2734,2021-22
7/17/2022,374751.1488,2021-22
7/18/2022,374535.6228,2021-22
7/19/2022,373862.5779,2021-22
7/20/2022,372208.1211,2021-22
7/21/2022,370469.1142,2021-22
7/22/2022,368882.6817,2021-22
7/23/2022,368024.1488,2021-22
7/24/2022,366704.391,2021-22
7/25/2022,365207.4291,2021-22
7/26/2022,363600.6125,2021-22
7/27/2022,361841.8547,2021-22
7/28/2022,360204.8304,2021-22
7/29/2022,358690.4048,2021-22
7/30/2022,357177.5709,2021-22
7/31/2022,355707.8443,2021-22
8/1/2022,354333.0519,2021-22
8/2/2022,353510.2595,2021-22
8/3/2022,352936.8512,2021-22
8/4/2022,355048.0242,2021-22
8/5/2022,355295.7855,2021-22
8/6/2022,353986.5882,2021-22
8/7/2022,352583.1073,2021-22
8/8/2022,351235.2803,2021-22
8/9/2022,349944.7266,2021-22
8/10/2022,348795.692,2021-22
8/11/2022,348287.699,2021-22
8/12/2022,347321.1938,2021-22
8/13/2022,347103.699,2021-22
8/14/2022,346724.8443,2021-22
8/15/2022,345663.8789,2021-22
8/16/2022,344610.7336,2021-22
8/17/2022,343607.0415,2021-22
8/18/2022,342490.8028,2021-22
8/19/2022,341428.3772,2021-22
8/20/2022,340561.0588,2021-22
8/21/2022,339904.7336,2021-22
8/22/2022,339449.9066,2021-22
8/23/2022,338662.519,2021-22
8/24/2022,337945.263,2021-22
8/25/2022,337102.8962,2021-22
8/26/2022,336358.6159,2021-22
8/27/2022,337125.2768,2021-22
8/28/2022,336870.4325,2021-22
8/29/2022,336459.5121,2021-22
8/30/2022,335672.5779,2021-22
8/31/2022,334783.1626,2021-22
9/1/2022,333909.2145,2021-22
9/2/2022,333235.6436,2021-22
9/3/2022,332443.3183,2021-22
9/4/2022,331978.827,2021-22
9/5/2022,334917.8685,2021-22
9/6/2022,334450,2021-22
9/7/2022,333585.2907,2021-22
9/8/2022,332846.1107,2021-22
9/9/2022,332145.4118,2021-22
9/10/2022,331329.3253,2021-22
9/11/2022,330495.436,2021-22
9/12/2022,329768.0796,2021-22
9/13/2022,329270.8166,2021-22
9/14/2022,328858.7474,2021-22
9/15/2022,329478.9758,2021-22
9/16/2022,330397.3045,2021-22
9/17/2022,332822.5087,2021-22
9/18/2022,332262.3633,2021-22
9/19/2022,331518.7163,2021-22
9/20/2022,330827.0035,2021-22
9/21/2022,330065.0208,2021-22
9/22/2022,329348.8824,2021-22
9/23/2022,328903.6021,2021-22
9/24/2022,329143.6574,2021-22
9/25/2022,328680.1211,2021-22
9/26/2022,328052.3737,2021-22
9/27/2022,327416.9446,2021-22
9/28/2022,326810.4498,2021-22
9/29/2022,326525.4048,2021-22
9/30/2022,326208.9481,2021-22
10/1/2022,325777.0623,2022-23
10/2/2022,325242.8478,2022-23
10/3/2022,324701.9965,2022-23
10/4/2022,324186.0484,2022-23
10/5/2022,323788.4671,2022-23
10/6/2022,323405.5536,2022-23
10/7/2022,322922.4187,2022-23
10/8/2022,322466.0415,2022-23
10/9/2022,322038.1799,2022-23
10/10/2022,321629.1834,2022-23
10/11/2022,321397.5225,2022-23
10/12/2022,321136.1038,2022-23
10/13/2022,320761.0657,2022-23
10/14/2022,320380.0104,2022-23
10/15/2022,320031.6021,2022-23
10/16/2022,319630.5433,2022-23
10/17/2022,319194.263,2022-23
10/18/2022,318894.9308,2022-23
10/19/2022,318585.9896,2022-23
10/20/2022,318313.8339,2022-23
10/21/2022,318232.526,2022-23
10/22/2022,319124.8201,2022-23
10/23/2022,319994.955,2022-23
10/24/2022,325822.045,2022-23
10/25/2022,328817.0623,2022-23
10/26/2022,336722.3599,2022-23
10/27/2022,342337.0727,2022-23
10/28/2022,355274.3599,2022-23
10/29/2022,356076.6332,2022-23
10/30/2022,367210.4221,2022-23
10/31/2022,376439.6851,2022-23
11/1/2022,377956.7889,2022-23
11/2/2022,378180.2353,2022-23
11/3/2022,377911.8408,2022-23
11/4/2022,381794.218,2022-23
11/5/2022,388038.6817,2022-23
11/6/2022,388283.1765,2022-23
11/7/2022,388968.8443,2022-23
11/8/2022,388690.083,2022-23
11/9/2022,388355.3772,2022-23
11/10/2022,388258.9619,2022-23
11/11/2022,387993.6644,2022-23
11/12/2022,388175.0173,2022-23
11/13/2022,388633.5917,2022-23
11/14/2022,389172.6817,2022-23
11/15/2022,389904.2526,2022-23
11/16/2022,390423.6228,2022-23
11/17/2022,390834.6401,2022-23
11/18/2022,390531.2837,2022-23
11/19/2022,390425.2422,2022-23
11/20/2022,390378.9308,2022-23
11/21/2022,390467.308,2022-23
11/22/2022,391951.0173,2022-23
11/23/2022,396706.6263,2022-23
11/24/2022,397198.8962,2022-23
11/25/2022,401319.9239,2022-23
11/26/2022,403117.7509,2022-23
11/27/2022,408399.2076,2022-23
11/28/2022,407808.9204,2022-23
11/29/2022,407108.218,2022-23
11/30/2022,406398.3114,2022-23
12/1/2022,405628.4394,2022-23
12/2/2022,404833.8062,2022-23
12/3/2022,404057.6401,2022-23
12/4/2022,403235.8028,2022-23
12/5/2022,402476.1834,2022-23
12/6/2022,401710.7855,2022-23
12/7/2022,400948.6125,2022-23
12/8/2022,401779.1592,2022-23
12/9/2022,402264.4498,2022-23
12/10/2022,402421.0069,2022-23
12/11/2022,404806.3045,2022-23
12/12/2022,404489.2595,2022-23
12/13/2022,403645.2837,2022-23
12/14/2022,402828.5156,2022-23
12/15/2022,402004.8028,2022-23
12/16/2022,401182.2803,2022-23
12/17/2022,400364.3737,2022-23
12/18/2022,399574.872,2022-23
12/19/2022,398723.5433,2022-23
12/20/2022,397888.1592,2022-23
12/21/2022,397071.4464,2022-23
12/22/2022,396243.6644,2022-23
12/23/2022,395440.346,2022-23
12/24/2022,397944.8097,2022-23
12/25/2022,409801.9481,2022-23
12/26/2022,419681.6401,2022-23
12/27/2022,425710.1003,2022-23
12/28/2022,429219.4152,2022-23
12/29/2022,425759.1592,2022-23
12/30/2022,425810.8028,2022-23
12/31/2022,429303,2022-23
1/1/2023,427414.2284,2022-23
1/2/2023,424162.3737,2022-23
1/3/2023,420982.3253,2022-23
1/4/2023,418036.308,2022-23
1/5/2023,415989.6367,2022-23
1/6/2023,420824.7163,2022-23
1/7/2023,423609.4567,2022-23
1/8/2023,426133.1384,2022-23
1/9/2023,428161.4464,2022-23
1/10/2023,428864.0969,2022-23
1/11/2023,426734.0138,2022-23
1/12/2023,427146.3633,2022-23
1/13/2023,433351.1696,2022-23
1/14/2023,433984.0381,2022-23
1/15/2023,428717.0623,2022-23
1/16/2023,427613.4083,2022-23
1/17/2023,425973.1488,2022-23
1/18/2023,426268.0104,2022-23
1/19/2023,425038.5052,2022-23
1/20/2023,421638.5952,2022-23
