date,value,point
8/15/2018,0.852,Point1
8/15/2019,0.849,Point1
7/30/2020,0.723,Point1
7/29/2021,0.477,Point1
8/16/2022,0.475,Point1
8/13/2023,0.296,Point1
8/15/2018,0.899,Point2
8/15/2019,0.865,Point2
7/30/2020,0.801,Point2
7/29/2021,0.457,Point2
8/16/2022,0.427,Point2
8/13/2023,0.441,Point2
8/15/2018,0.875,Point3
8/15/2019,0.882,Point3
7/30/2020,0.862,Point3
7/29/2021,0.91,Point3
8/16/2022,0.567,Point3
8/13/2023,0.56,Point3
