date,percent_norm
1/1/2022,111
1/15/2022,114
2/1/2022,117
2/15/2022,112
3/1/2022,107
3/15/2022,105
4/1/2022,102
4/15/2022,110
5/1/2022,120
5/15/2022,136
6/1/2022,163
6/15/2022,183
1/1/2023,70
1/15/2023,72
2/1/2023,73
2/15/2023,73
3/1/2023,73
3/15/2023,77
4/1/2023,80
4/15/2023,95
5/1/2023,99
5/15/2023,84
6/1/2023,62
6/15/2023,30
