year,crossover_count
1988,5
1991,1
1992,3
1993,3
1994,3
1995,6
1996,6
1997,5
1998,5
1999,1
2000,2
2001,1
2002,4
2003,5
2004,12
2005,7
2006,9
2007,2
2008,6
2009,14
2010,7
2011,1
2012,6
2013,6
2014,7
2015,16
2016,8
2017,12
2018,19
2019,3
2020,7
2021,10
2022,11
2023,9
