Date,Precip,TA
1-May-20,137.17,12.5
1-Jun-20,128.79,13.9
1-Jul-20,67.06,16.9
1-Aug-20,90.43,16.9
1-Sep-20,207.8,16.1
1-Oct-20,251.1,9
1-Nov-20,498,4.4
1-Dec-20,560,3.4
1-Jan-21,472,3.6
1-Feb-21,256,1.3
1-Mar-21,280,4.5
1-Apr-21,119,8.6
1-May-21,79,11.5
1-Jun-21,104.9,17.5
1-Jul-21,4.5,19.6
1-Aug-21,66.8,18.1
1-Sep-21,415,13.8
1-Oct-21,504,8
1-Nov-21,871.22,5.5
1-Dec-21,315,-0.5
1-Jan-22,515,2
1-Feb-22,192,2.8
1-Mar-22,314,5
1-Apr-22,279,5.5
1-May-22,219,9.4
1-Jun-22,121.4,14.3
1-Jul-22,40.1,18.8
1-Aug-22,17.5,20.2
1-Sep-22,30.7,16.4
1-Oct-22,311,12.5
1-Nov-22,235,2.3
1-Dec-22,250,0.1
1-Jan-23,318,3.5
1-Feb-23,333,1.8
1-Mar-23,118,4.2
1-Apr-23,312.93,6.2
1-May-23,19.6,15.3
1-Jun-23,41.4,15.9
1-Jul-23,43.9,19.3
1-Aug-23,55,18.8
1-Sep-23,100,14.3
1-Oct-23,298.7,9.7
1-Nov-23,356.5,4.9
1-Dec-23,448,5.3
1-Jan-24,605,2.3
1-Feb-24,273,4.1
1-Mar-24,207.5,5
1-Apr-24,216.7,7.5
1-May-24,165,11.4
1-Jun-24,135.9,14.3
1-Jul-24,36.3,19.4
1-Aug-24,88.4,17.8
1-Sep-24,100.3,14.9
1-Oct-24,534,9.2
1-Nov-24,389,5.2
1-Dec-24,435,4.8
