date,level,year
6/4/2022,143.675,2022
6/5/2022,143.537,2022
6/6/2022,143.394,2022
6/7/2022,143.259,2022
6/8/2022,143.106,2022
6/9/2022,142.908,2022
6/10/2022,142.704,2022
6/11/2022,142.5,2022
6/12/2022,142.31,2022
6/13/2022,142.106,2022
6/14/2022,141.899,2022
6/15/2022,141.69,2022
6/16/2022,141.472,2022
6/17/2022,141.261,2022
6/18/2022,141.048,2022
6/19/2022,140.827,2022
6/20/2022,140.616,2022
6/21/2022,140.403,2022
6/22/2022,140.18,2022
6/23/2022,139.958,2022
6/24/2022,139.737,2022
6/25/2022,139.509,2022
6/26/2022,139.273,2022
6/27/2022,139.046,2022
6/28/2022,138.828,2022
6/29/2022,138.659,2022
6/30/2022,138.475,2022
7/1/2022,138.265,2022
7/2/2022,138.038,2022
7/3/2022,137.816,2022
7/4/2022,137.592,2022
7/5/2022,137.355,2022
7/6/2022,137.122,2022
7/7/2022,136.892,2022
7/8/2022,136.653,2022
7/9/2022,136.427,2022
7/10/2022,136.223,2022
7/11/2022,136.132,2022
7/12/2022,136.057,2022
7/13/2022,135.97,2022
7/14/2022,135.89,2022
7/15/2022,135.808,2022
7/16/2022,135.727,2022
7/17/2022,135.646,2022
7/18/2022,135.567,2022
7/19/2022,135.488,2022
7/20/2022,135.391,2022
7/21/2022,135.302,2022
7/22/2022,135.241,2022
7/23/2022,135.245,2022
7/24/2022,135.218,2022
7/25/2022,135.191,2022
7/26/2022,135.127,2022
7/27/2022,135.059,2022
7/28/2022,134.991,2022
7/29/2022,134.923,2022
7/30/2022,134.857,2022
7/31/2022,134.788,2022
8/1/2022,134.718,2022
8/2/2022,134.648,2022
8/3/2022,134.569,2022
8/4/2022,134.497,2022
8/5/2022,134.426,2022
8/6/2022,134.398,2022
8/7/2022,134.408,2022
8/8/2022,134.418,2022
8/9/2022,134.426,2022
8/10/2022,134.429,2022
8/11/2022,134.394,2022
8/12/2022,134.327,2022
8/13/2022,134.277,2022
8/14/2022,134.181,2022
8/15/2022,133.994,2022
8/16/2022,133.794,2022
8/17/2022,133.673,2022
8/18/2022,133.52,2022
8/19/2022,133.367,2022
8/20/2022,133.214,2022
8/21/2022,133.061,2022
8/22/2022,132.927,2022
8/23/2022,132.793,2022
8/24/2022,132.659,2022
8/25/2022,132.525,2022
8/26/2022,132.4,2022
8/27/2022,132.275,2022
8/28/2022,132.15,2022
8/29/2022,132.025,2022
8/30/2022,131.9,2022
8/31/2022,131.78,2022
9/1/2022,131.66,2022
9/2/2022,131.54,2022
9/3/2022,131.42,2022
9/4/2022,131.3,2022
9/5/2022,131.195,2022
9/6/2022,131.09,2022
9/7/2022,130.985,2022
9/8/2022,130.88,2022
9/9/2022,130.775,2022
9/10/2022,130.67,2022
9/11/2022,130.565,2022
9/12/2022,130.46,2022
9/13/2022,130.365,2022
9/14/2022,130.27,2022
9/15/2022,130.175,2022
9/16/2022,130.08,2022
9/17/2022,129.985,2022
9/18/2022,129.89,2022
9/19/2022,129.795,2022
9/20/2022,129.682,2022
9/21/2022,129.569,2022
9/22/2022,129.456,2022
9/23/2022,129.343,2022
9/24/2022,129.23,2022
9/25/2022,129.117,2022
9/26/2022,129.027,2022
9/27/2022,128.937,2022
9/28/2022,128.847,2022
9/29/2022,128.757,2022
9/30/2022,128.667,2022
10/1/2022,128.577,2022
10/2/2022,128.492,2022
10/3/2022,128.407,2022
10/4/2022,128.322,2022
10/5/2022,128.237,2022
10/6/2022,128.152,2022
10/7/2022,128.067,2022
10/8/2022,127.982,2022
10/9/2022,127.897,2022
10/10/2022,127.812,2022
10/11/2022,127.727,2022
10/12/2022,127.642,2022
10/13/2022,127.557,2022
10/14/2022,127.472,2022
10/15/2022,127.387,2022
5/1/2023,,2023
5/2/2023,,2023
5/3/2023,,2023
5/4/2023,,2023
5/5/2023,,2023
5/6/2023,,2023
5/7/2023,,2023
5/8/2023,,2023
5/9/2023,,2023
5/10/2023,,2023
5/11/2023,,2023
5/12/2023,,2023
5/13/2023,,2023
5/14/2023,,2023
5/15/2023,,2023
5/16/2023,145.72,2023
5/17/2023,145.674,2023
5/18/2023,145.635,2023
5/19/2023,145.59,2023
5/20/2023,145.532,2023
5/21/2023,145.456,2023
5/22/2023,145.36,2023
5/23/2023,145.246,2023
5/24/2023,145.111,2023
5/25/2023,144.971,2023
5/26/2023,144.844,2023
5/27/2023,144.754,2023
5/28/2023,144.64,2023
5/29/2023,144.532,2023
5/30/2023,144.397,2023
5/31/2023,144.255,2023
6/1/2023,144.121,2023
6/2/2023,143.975,2023
6/3/2023,143.817,2023
6/4/2023,143.645,2023
6/5/2023,143.47,2023
6/6/2023,143.281,2023
6/7/2023,143.119,2023
6/8/2023,142.955,2023
6/9/2023,142.782,2023
6/10/2023,142.568,2023
6/11/2023,142.364,2023
6/12/2023,142.179,2023
6/13/2023,142.001,2023
6/14/2023,141.873,2023
6/15/2023,141.83,2023
6/16/2023,141.789,2023
6/17/2023,141.686,2023
6/18/2023,141.557,2023
6/19/2023,141.406,2023
6/20/2023,141.253,2023
6/21/2023,141.097,2023
6/22/2023,140.928,2023
6/23/2023,140.762,2023
6/24/2023,140.612,2023
6/25/2023,140.452,2023
