date,area_burned,fire_no,avg_size
2008,13240,2023,6.5
2009,247419,3064,80.8
2010,337149,1672,201.6
2011,12604,653,19.3
2012,102122,1649,61.9
2013,18298,1861,9.8
2014,369168,1481,249.3
2015,280605,1858,151
2016,100366,1050,95.6
2017,1216053,1353,898.8
2018,1354284,2117,639.7
2019,21138,825,25.6
2020,14536,670,21.7
2021,869300,1647,527.8
2022,135235,1801,75.1
2023,2839220,2245,1118.7
2024,1081136,1687,640.9
