Date,mean_TW
8/3/2011,15.97536736
8/4/2011,16.17565521
8/5/2011,16.44620069
8/6/2011,16.64106354
8/7/2011,16.67070347
8/8/2011,16.71271563
8/9/2011,16.886275
8/10/2011,16.86166215
8/11/2011,16.85160208
8/12/2011,16.94038403
8/13/2011,16.87717153
8/14/2011,16.93254063
8/15/2011,16.9744441
8/16/2011,16.63769653
8/17/2011,16.66896076
8/18/2011,16.72505104
8/19/2011,16.8793059
8/20/2011,17.18134201
8/21/2011,17.49858993
8/22/2011,17.64666979
8/23/2011,16.88166667
8/24/2011,16.7924684
8/25/2011,16.94909306
8/26/2011,17.22008403
8/27/2011,17.54497743
8/28/2011,17.95273646
8/29/2011,18.02495
8/30/2011,17.71086076
8/31/2011,17.31762049
9/1/2011,17.18275903
9/2/2011,16.98717326
9/3/2011,16.87391979
9/4/2011,16.91513056
9/5/2011,16.89497604
9/6/2011,16.94792257
9/7/2011,17.01050938
9/8/2011,17.02493264
9/9/2011,17.14465208
9/10/2011,17.28597465
9/11/2011,17.49625278
9/12/2011,17.61640799
9/13/2011,17.51667292
9/14/2011,17.50246285
9/15/2011,17.28185556
9/16/2011,17.04183299
9/17/2011,16.75047674
9/18/2011,16.54477882
9/19/2011,16.45705451
9/20/2011,16.27439201
9/21/2011,16.16309028
9/22/2011,15.86235
9/23/2011,15.88502465
9/24/2011,16.06531042
9/25/2011,15.92453333
9/26/2011,14.79997743
9/27/2011,13.50533611
9/28/2011,13.41529306
9/29/2011,12.95409688
9/30/2011,12.87448646
10/1/2011,12.70074653
10/2/2011,12.52052361
10/3/2011,12.58030903
10/4/2011,12.1984375
10/5/2011,11.76853507
10/6/2011,11.56955243
10/7/2011,11.5077566
10/8/2011,11.64988993
10/9/2011,11.86931979
10/10/2011,11.63404306
10/11/2011,11.12077743
10/12/2011,10.83606979
10/13/2011,10.52643507
10/14/2011,10.30219826
10/15/2011,10.13311806
10/16/2011,9.972629514
10/17/2011,9.863707986
10/18/2011,9.949764931
10/19/2011,10.06691042
10/20/2011,10.00623229
10/21/2011,9.919470139
10/22/2011,9.887572569
10/23/2011,9.821297222
10/24/2011,9.683865625
10/25/2011,9.411447222
10/26/2011,9.09950625
10/27/2011,8.893919792
10/28/2011,8.699327778
10/29/2011,8.600713542
10/30/2011,8.555995833
10/31/2011,8.540176389
11/1/2011,8.376744097
11/2/2011,8.126380836
11/3/2011,7.987207986
