datetime,DGR,rating
8/2/2015,4,High
8/3/2015,4,High
8/4/2015,4,High
8/5/2015,2,Low
8/6/2015,2,Low
8/7/2015,2,Low
8/8/2015,2,Low
8/9/2015,2,Low
8/10/2015,2,Low
8/11/2015,3,Moderate
8/12/2015,4,High
8/13/2015,4,High
8/14/2015,3,Moderate
8/15/2015,3,Moderate
8/16/2015,3,Moderate
8/17/2015,3,Moderate
8/18/2015,4,High
8/19/2015,4,High
8/20/2015,4,High
8/21/2015,4,High
8/22/2015,4,High
8/23/2015,4,High
8/24/2015,4,High
8/25/2015,4,High
8/26/2015,4,High
8/27/2015,4,High
8/28/2015,2,Low
8/29/2015,1,Very Low
8/30/2015,1,Very Low
8/31/2015,1,Very Low
9/1/2015,1,Very Low
9/2/2015,1,Very Low
9/3/2015,1,Very Low
9/4/2015,1,Very Low
9/5/2015,1,Very Low
9/6/2015,1,Very Low
9/7/2015,1,Very Low
9/8/2015,1,Very Low
9/9/2015,1,Very Low
9/10/2015,1,Very Low
9/11/2015,2,Low
9/12/2015,2,Low
9/13/2015,2,Low
9/14/2015,2,Low
9/15/2015,1,Very Low
9/16/2015,1,Very Low
9/17/2015,1,Very Low
9/18/2015,1,Very Low
9/19/2015,1,Very Low
9/20/2015,1,Very Low
9/21/2015,1,Very Low
9/22/2015,1,Very Low
9/23/2015,1,Very Low
9/24/2015,1,Very Low
9/25/2015,1,Very Low
9/26/2015,1,Very Low
9/27/2015,1,Very Low
9/28/2015,2,Low
9/29/2015,2,Low
9/30/2015,2,Low
10/1/2015,2,Low
10/2/2015,2,Low
10/3/2015,2,Low
10/4/2015,2,Low
10/5/2015,2,Low
10/6/2015,2,Low
10/7/2015,1,Very Low
10/8/2015,1,Very Low
10/9/2015,1,Very Low
10/10/2015,1,Very Low
10/11/2015,1,Very Low
10/12/2015,1,Very Low
10/13/2015,1,Very Low
10/14/2015,1,Very Low
10/15/2015,1,Very Low
10/16/2015,2,Low
10/17/2015,2,Low
10/18/2015,2,Low
10/19/2015,1,Very Low
10/20/2015,1,Very Low
10/21/2015,1,Very Low
10/22/2015,1,Very Low
10/23/2015,2,Low
10/24/2015,2,Low
10/25/2015,2,Low
10/26/2015,1,Very Low
10/27/2015,1,Very Low
10/28/2015,1,Very Low
10/29/2015,1,Very Low
10/30/2015,1,Very Low
10/31/2015,1,Very Low
11/1/2015,1,Very Low
11/2/2015,1,Very Low
11/3/2015,1,Very Low
11/4/2015,1,Very Low
11/5/2015,1,Very Low
11/6/2015,1,Very Low
11/7/2015,1,Very Low
11/8/2015,1,Very Low
11/9/2015,1,Very Low
11/10/2015,1,Very Low
11/11/2015,1,Very Low
11/12/2015,1,Very Low
11/13/2015,1,Very Low
11/14/2015,1,Very Low
11/15/2015,1,Very Low
11/16/2015,1,Very Low
11/17/2015,1,Very Low
11/18/2015,1,Very Low
11/19/2015,1,Very Low
11/20/2015,1,Very Low
11/21/2015,1,Very Low
11/22/2015,1,Very Low
11/23/2015,1,Very Low
11/24/2015,1,Very Low
11/25/2015,1,Very Low
11/26/2015,1,Very Low
11/27/2015,1,Very Low
11/28/2015,2,Low
11/29/2015,2,Low
11/30/2015,2,Low
12/1/2015,1,Very Low
12/2/2015,1,Very Low
12/3/2015,2,Low
12/4/2015,1,Very Low
12/5/2015,1,Very Low
12/6/2015,1,Very Low
12/7/2015,1,Very Low
12/8/2015,1,Very Low
12/9/2015,1,Very Low
12/10/2015,1,Very Low
12/11/2015,1,Very Low
12/12/2015,1,Very Low
